court_number,court_name,adj_total,american_indian_alaskan_native,asian,black_african_american,hispanic_latino_spanish_origins,multi_race,native_hawaiian_pacific_islander,not_provided,other,unknown,white,hlso_ethnicity,total,jp_white,jp_black,jp_hisp,jp_hlso_ethnicity,jp_asian,jp_aian,jp_mr,jp_nhpi,jp_other,jp_unk
881,Union County District Court,755,3,7,4,0,8,0,59,6,2,725,14,814,96.03,0.53,0.00,1.85,0.93,0.40,1.06,0.00,0.79,0.26
891,Van Buren County District Court,622,2,6,1,0,5,0,51,7,2,599,10,673,96.30,0.16,0.00,1.61,0.96,0.32,0.80,0.00,1.13,0.32
901,Wapello County District Court,3175,18,42,82,21,28,30,712,159,12,2783,259,3887,87.65,2.58,0.66,8.16,1.32,0.57,0.88,0.94,5.01,0.38
911,Warren County District Court,1994,5,23,13,2,18,5,87,22,1,1905,58,2081,95.54,0.65,0.10,2.91,1.15,0.25,0.90,0.25,1.10,0.05
921,Washington County District Court,1575,5,7,18,1,14,0,96,41,5,1484,68,1671,94.22,1.14,0.06,4.32,0.44,0.32,0.89,0.00,2.60,0.32
931,Wayne County District Court,530,4,0,2,0,2,0,69,1,0,521,5,599,98.30,0.38,0.00,0.94,0.00,0.75,0.38,0.00,0.19,0.00
941,Webster County District Court,4115,17,36,128,15,63,3,385,69,14,3770,139,4500,91.62,3.11,0.36,3.38,0.87,0.41,1.53,0.07,1.68,0.34
951,Winnebago County District Court,1032,1,8,14,3,11,0,96,18,3,974,43,1128,94.38,1.36,0.29,4.17,0.78,0.10,1.07,0.00,1.74,0.29
961,Winneshiek County District Court,1316,0,10,4,0,9,2,40,5,0,1286,16,1356,97.72,0.30,0.00,1.22,0.76,0.00,0.68,0.15,0.38,0.00
971,Woodbury County District Court,10699,152,281,362,174,229,32,2376,564,41,8864,1267,13075,82.85,3.38,1.63,11.84,2.63,1.42,2.14,0.30,5.27,0.38
981,Worth County District Court,931,1,0,2,0,9,0,44,5,2,912,22,975,97.96,0.21,0.00,2.36,0.00,0.11,0.97,0.00,0.54,0.21
991,Wright County District Court,797,3,6,5,7,8,0,79,32,4,732,73,876,91.84,0.63,0.88,9.16,0.75,0.38,1.00,0.00,4.02,0.50
Sum,,274237,1028,4836,8687,1327,3719,422,25058,6116,791,247311,13055,299295,90.18,3.17,0.48,4.76,1.76,0.37,1.36,0.15,2.23,0.29
