court_number,court_name,adj_total,cp_white,cp_black,cp_hisp,cp_asian,cp_aian,cp_mr,cp_nhpi,cp_other,cp_unk
781,Pottawattamie County District Court,193,94.82,0.52,0.00,1.04,0.00,1.55,0.00,2.07,0.00
791,Poweshiek County District Court,73,98.63,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00
821,Scott County District Court,5916,88.61,5.16,0.07,1.67,0.29,2.16,0.12,1.67,0.25
841,Sioux County District Court,182,96.70,0.00,0.00,1.10,0.00,0.55,0.55,1.10,0.00
851,Story County District Court,718,92.48,1.25,0.14,3.20,0.14,1.53,0.14,0.56,0.56
861,Tama County District Court,297,89.90,0.34,0.00,0.00,5.39,1.35,0.67,2.36,0.00
871,Taylor County District Court,69,94.20,0.00,0.00,0.00,0.00,2.90,1.45,0.00,1.45
881,Union County District Court,251,96.41,0.40,0.00,1.20,0.80,1.20,0.00,0.00,0.00
891,Van Buren County District Court,29,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
901,Wapello County District Court,674,93.18,0.59,0.00,0.30,0.89,1.34,0.74,2.52,0.45
911,Warren County District Court,574,95.64,0.17,0.00,0.87,0.00,1.57,0.17,1.39,0.17
921,Washington County District Court,244,97.95,0.41,0.00,0.00,0.41,0.41,0.00,0.41,0.41
931,Wayne County District Court,111,98.20,0.90,0.00,0.00,0.90,0.00,0.00,0.00,0.00
941,Webster County District Court,728,93.68,2.61,0.00,0.27,0.41,1.24,0.14,1.51,0.14
951,Winnebago County District Court,310,95.48,0.32,0.00,0.97,0.00,1.94,0.00,1.29,0.00
961,Winneshiek County District Court,142,97.18,0.00,0.00,2.11,0.00,0.00,0.00,0.70,0.00
971,Woodbury County District Court,1463,86.33,2.32,0.14,1.98,1.50,3.01,0.27,4.03,0.41
981,Worth County District Court,72,98.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39
991,Wright County District Court,54,96.30,0.00,0.00,1.85,0.00,1.85,0.00,0.00,0.00
